train_loss
0.21823
0.13824
0.10188
0.07502
0.05659
0.04652
0.03859
0.03372
0.02938
0.02605
0.02304
0.02124
0.01902
0.01628
0.01482
0.01364
0.01369
0.01452
0.01295
0.01126
0.01008
0.01067
0.01108
0.01044
0.00813
0.00731
0.01034
0.01061
0.009
0.00898
0.00878
0.00908
0.00989
0.00851
0.00638
0.00703
0.00921
0.00895
0.00877
0.00969
